area_name,population_2023,assault_rate_2023,autotheft_rate_2023,biketheft_rate_2023,breakenter_rate_2023,homicide_rate_2023,robbery_rate_2023,shooting_rate_2023,theftfrommv_rate_2023,theftover_rate_2023,avg_crime_rates
Guildwood,10332,0.5420054321,0.222609375,0.01935733604,0.08710801697,NA,0.009678668022,NA,0.28068136600000004,0.03871467209,0.13335054069133334
Scarborough Village,17713,0.8637723999,0.2596962585,0.03387342453,0.2032405548,NA,0.13549369809999998,0.01129114246,0.4008355408,0.02258228493,0.21453170044666667
Eglinton East,24231,0.6933267211999999,0.2022202911,0.0660311203,0.21872807309999998,0.004126945019,0.1361891785,0.01238083458,0.4044405823,0.03301556015,0.19671770069433334
West Hill,29259,1.514064087,0.27683789059999997,0.05126627731,0.1845585938,0.006835503578,0.191394104,0.037595268249999994,0.49899176030000003,0.06835503387,0.31443316874533334
Morningside,18463,0.7095271606,0.27081188959999997,0.01083247566,0.04332990265,NA,0.01624871445,0.02166495132,0.2653956604,0.01624871445,0.15045105212555554
Highland Creek,13871,0.46139428709999997,0.43255712890000003,0.021627857209999997,0.1009300003,NA,0.021627857209999997,0.021627857209999997,0.15860427859999998,0.01441857147,0.13697642644444444
Centennial Scarborough,14609,0.26695870969999996,0.31487438959999997,NA,0.1163666229,NA,0.04791566849,NA,0.19850776669999998,0.013690191269999999,0.10647926096222221
Milliken,28371,0.3137006226,1.0503682859999999,0.01057417774,0.2714039001,NA,0.130414856,0.01057417774,0.3137006226,0.08459342194,0.24281445163555557
Agincourt North,31260,0.2623160706,0.3806781921,0.01279590511,0.14075495910000002,NA,0.04798464584,0.003198976278,0.09596929169,0.01599488163,0.10663254692755555
Agincourt South-Malvern West,28097,0.6797879028,0.4520055542,0.04270918655,0.2384596252,NA,0.06406378173999999,0.02135459328,0.256255127,0.03915008545,0.19930953958
Dorset Park,26286,0.8293388062,0.3728220215,0.05706459808,0.2510842285,0.015217226030000001,0.11412919619999999,0.007608613014,0.3690177307,0.09130335236,0.23417619695377778
Ionview,14121,0.8922880859000001,0.2407761536,0.03540825653,0.1062247696,NA,0.028326604840000002,0.014163302420000001,0.22661283869999999,0.014163302420000001,0.17310703489
Kennedy Park,18173,1.744345947,0.2476201019,0.044021350859999996,0.22560942080000002,NA,0.1815880737,0.03851868057,0.4016948242,0.0660320282,0.3277144919144444
Cliffcrest,17922,1.02109137,0.33478405759999996,0.0167392025,0.13391362,0.005579734325,0.0725365448,0.0223189373,0.2734069824,0.01115946865,0.21016999084166665
Birchcliffe-Cliffside,23417,0.8925139771,0.3031985168,0.02562241173,0.1494640656,NA,0.05551522446,0.004270401954999999,0.2306016998,0.02989281273,0.18789767890833334
Downtown Yonge East,18023,3.639793701,0.2496809692,1.137435547,0.6547189941,0.01109693146,0.4993619385,0.02774232864,0.6269766234999999,0.1387116394,0.7761687414222221
Church-Wellesley,22938,1.456098999,0.1613043823,0.4446769409,0.3313279419,0.004359578133,0.2397767944,0.004359578133,0.3400470886,0.1133490295,0.3439222592073333
St Lawrence-East Bayfront-The Islands,31003,1.435344971,0.1386962585,0.3419024048,0.3128729553,NA,0.13547076419999998,0.009676483154,0.35802987669999997,0.09999032593,0.3146648932871111
Harbourfront-CityPlace,31477,0.860946106,0.1080153732,0.2795692139,0.2446230621,0.0031769227980000003,0.06989230347,0.009530768394000001,0.2859230652,0.04765384293,0.212147850888
Wellington Place,28870,1.485971558,0.2459300385,0.277104248,0.48839627080000003,0.0034638032910000002,0.15933494569999998,0.02078281975,0.31866989139999996,0.1108417053,0.345610586749
Fort York-Liberty Village,21860,0.7639524536,0.10521500399999999,0.19670631409999997,0.1509606628,0.009149130821,0.032021957399999995,0.004574565411,0.1692589264,0.05489478683,0.16519264459577776
West Queen West,15136,0.7135306396,0.09249471282999999,0.2774841309,0.28409091189999996,NA,0.06606764984,NA,0.2048097229,0.03303382492,0.18572351032111112
Humber Bay Shores,20822,0.7299971313,0.3746037903,0.0768418045,0.17769667050000001,NA,0.043223514559999995,0.004802612782,0.1440783844,0.04802612686,0.17769667057799998
Mimico-Queensway,18313,2.834052246,0.3767815247,0.02730300903,0.1856604614,0.005460601807,0.04368481445,0.01092120361,0.29487249759999995,0.1365150452,0.4350279337552222
Etobicoke City Centre,25495,1.208079956,1.153167236,0.06667974091000001,0.2745636292,0.01176701355,0.1568935089,0.01568935108,0.7373994751,0.2353402557,0.4288422407155556
Islington,25937,0.5282029419000001,0.6554343262,0.03084396744,0.2236187744,NA,0.046265953060000004,NA,0.181208313,0.05012144852,0.19063285827999998
Bendale South,10881,0.7536071777,0.2205679626,0.01838066292,0.1378549805,NA,0.18380664060000002,0.009190331458999999,0.2297583008,0.01838066292,0.17461630216655555
Caledonia-Fairbank,10581,0.5954068604,0.31187979130000004,0.08505812072999999,0.1323126373,0.009450902939,0.03780361176,0.01890180588,0.09450902557,0.01890180588,0.14491384019544445
Briar Hill-Belgravia,15146,0.5876138916,0.2442889252,0.0330120163,0.2508913269,NA,0.14525286869999998,0.006602403164,0.3499273682,0.05281922531,0.18560089170822222
Oakwood Village,22404,0.49991073610000003,0.2588823547,0.0446348877,0.1606855927,NA,0.05802535248,0.008926977158,0.2008569946,0.01339046574,0.138368151242
Humewood-Cedarvale,15620,0.3457106323,0.3393085938,0.08962867737,0.2432778473,NA,0.006402048588000001,NA,0.16645326230000002,0.01920614624,0.1344430230997778
Lawrence Park North,15581,0.2053783417,0.5198639526,0.03850843811,0.2117964172,NA,0.03850843811,NA,0.2117964172,0.04492651367,0.14119761317666668
Lawrence Park South,16778,0.19668614199999998,0.71522229,0.03576111603,0.3456907959,NA,0.04172130203,NA,0.13112408450000002,0.03576111603,0.16688520516555555
Forest Hill North,13172,0.478287262,0.4023686523,0.022775585169999998,0.3492256165,NA,0.06832675171,NA,0.2657151489,0.022775585169999998,0.17883051130555555
Forest Hill South,12160,0.35361840819999996,0.7730263062,0.09046052551,0.6167763062,NA,0.008223684311,0.008223684311,0.1233552628,0.02467105293,0.22203947005133334
Yonge-Eglinton,13743,0.7567489014000001,0.291057251,0.116422905,0.2401222382,NA,0.08731717682,0.014552863119999999,0.13097576900000002,0.1091464767,0.19403817569333334
Mount Pleasant East,18084,0.42579074100000003,0.3151957397,0.07188674927,0.1105950012,NA,0.04423799896,NA,0.1271842499,0.02764875031,0.12472658114888888
Rosedale-Moore Park,23053,1.1755520019999999,0.6203096924,0.1952023621,0.4381208496,0.004337830066999999,0.1041079254,0.004337830066999999,0.1995401917,0.09977009583,0.3156976421293333
Yonge-St.Clair,13953,0.2508421173,0.27234286500000005,0.1003368454,0.25800903319999996,NA,0.01433383465,NA,0.13617143250000002,0.01433383465,0.11626332918888889
Casa Loma,11972,0.46775808719999995,0.350818573,0.07517540741,0.3925827026,NA,0.1252923508,NA,0.08352822876,0.050116939539999995,0.17169692103444445
Annex,34502,1.147759521,0.2347689972,0.2347689972,0.39997680659999996,NA,0.1941916351,NA,0.3101269531,0.182598114,0.3004656693555556
Wychwood,14609,0.6092135009999999,0.1779724884,0.0889862442,0.28064892579999995,NA,0.1711273804,0.0410705719,0.1505921021,0.006845095634,0.16960625660377776
Corso Italia-Davenport,14784,0.9943181763,0.2637987061,0.1217532501,0.2773268433,0.00676406908,0.1285173187,0.02029220772,0.2637987061,0.08116883087,0.23974867869666663
Weston-Pelham Park,12330,0.9651257324,0.17031629939999998,0.05677210236,0.30819140629999997,NA,0.04866180038,0.032441200260000004,0.129764801,0.032441200260000004,0.19374606026222221
Junction Area,15252,0.8916863402999999,0.30159979249999996,0.104904274,0.44584317019999997,NA,0.1245738297,0.006556517124,0.2622606812,0.05900865555,0.24404814006377779
Oakridge,15389,1.397101807,0.142959259,0.01949444389,0.1884462891,NA,0.1299629669,0.01949444389,0.35089999390000004,0.02599259186,0.25270575506000004
Clairlea-Birchmount,28782,0.9658814697,0.42387603760000003,0.02779514885,0.20498922730000002,NA,0.07643666077,0.01389757442,0.31964422610000004,0.034743938450000005,0.22969603146555556
Wexford/Maryvale,29870,0.8704385376,0.6796116333,0.09039170074000001,0.2577837219,NA,0.1037830582,0.01339136219,0.3950451965,0.06360897064,0.2748949090077778
Tam O'Shanter-Sullivan,29770,0.45683575439999996,0.3359086304,0.0537453804,0.1444407196,NA,0.07054080962999999,0.01007725906,0.2351360474,0.01679543114,0.14705333689222222
Steeles,26395,0.1856412201,0.23868156429999998,0.01136578941,0.102292099,NA,0.02652017403,0.003788596392,0.08713771819999999,0.003788596392,0.07324619531377778
Mount Dennis,14256,0.8557800293000001,0.3858024597,0.02104377174,0.21745230100000001,NA,0.06313131332,0.01402918053,0.22446688839999998,0.04910213089,0.2034231194311111
Lambton Baby Point,8294,0.3737641602,0.24113816829999998,0.01205690861,0.1808536224,NA,0.06028454208,0.01205690861,0.09645526886,0.02411381721,0.11119148847444443
Weston,19809,1.226715088,0.5351102905,0.0555303154,0.3079408264,0.005048210621,0.1817355804,0.02019284248,0.30289263920000004,0.02019284248,0.29503984838677777
Beechborough-Greenbrook,7057,1.161966797,0.3259175415,0.042510982509999996,0.34008786010000003,0.01417032719,0.17004393010000002,0.07085163878999999,0.17004393010000002,0.09919229126000001,0.26608725539444444
Rockcliffe-Smythe,23453,0.7674924316,0.3197885132,0.05116616058,0.2259838867,NA,0.08527693939,0.03411077499,0.3965377502,0.04690231705,0.21413986374555555
Keelesdale-Eglinton West,11969,0.9357506714,0.2840671692,0.016709833150000002,0.2422925873,0.008354916573,0.2172278442,0.008354916573,0.1921630859,0.02506475067,0.21444286388511113
Palmerston-Little Italy,14699,0.5238451538000001,0.0952445755,0.2245050659,0.2381114349,0.013606368059999999,0.14286686710000002,0.013606368059999999,0.20409552,0.054425472259999996,0.1678118695088889
University,7564,1.679005859,0.09254362488,0.7006874390000001,0.727128479,NA,0.1850872498,NA,0.5156002197,0.145425705,0.4494976195977778
Kensington-Chinatown,21229,2.270479004,0.2355268707,0.6453436279,0.6830279541,0.004710537434,0.2166847229,0.02355268669,0.4898959045,0.13660559079999998,0.5228696554471111
North St.James Town,20492,1.3468670649999999,0.048799530029999996,0.20007807919999998,0.1951981201,NA,0.14151864620000001,0.0048799533840000004,0.27327737430000004,0.04391957855,0.2505042607515555
Moss Park,22207,2.8234340820000003,0.1936326447,0.44580538940000003,0.6529472656,0.03152159309,0.2521727448,0.0135092535,0.4863331299,0.11257711790000001,0.5568814689877778
Regent Park,14166,1.129464966,0.08470986938,0.19059719849999998,0.2823662415,NA,0.1411831207,0.01411831188,0.2400112915,0.05647324753,0.23765824966555554
Cabbagetown-South St.James Town,11968,1.094585571,0.15875668329999998,0.2590240784,0.4428475952,NA,0.1169786072,NA,0.4177807617,0.05013368988,0.2822341096311111
South Riverdale,30135,1.1249377440000001,0.2687904358,0.28206405640000004,0.3218848572,0.0033184006209999997,0.1460096283,0.009955201149,0.30197445679999996,0.08959681702,0.2831701774766667
Blake-Jones,8229,0.9843237305,0.0850650177,0.13367359920000002,0.4131729126,0.01215214443,0.13367359920000002,0.04860857773,0.18228216549999998,0.03645643616,0.22548979811333336
North Riverdale,12168,0.6574622192,0.2218934937,0.1232741623,0.2629848633,0.008218276978,0.07396450043,0.016436553960000003,0.1561472778,0.016436553960000003,0.17075754462533335
Playter Estates-Danforth,7764,1.365275635,0.4121586914,0.1416795502,0.3219989624,NA,0.23183926389999998,0.02575991821,0.3348789368,NA,0.31484343976777773
Danforth,10173,1.2975523679999998,0.2457485504,0.1277892456,0.2260886688,NA,0.2064287872,0.0196598835,0.27523837279999996,0.049149711609999994,0.27196173199
Greenwood-Coxwell,15400,0.8246753539999999,0.1883116913,0.10389610290000001,0.149350647,0.0064935064320000005,0.04545454407,NA,0.2337662354,0.01948052025,0.174603177928
Woodbine Corridor,13282,0.767956604,0.24092756650000002,0.06776087952,0.18822467040000002,NA,0.05270290756,0.007528986454,0.2559855499,0.02258695984,0.1781860137971111
The Beaches,23097,0.4892410278,0.2511148682,0.1082391663,0.1688531036,0.004329566479,0.06927306366000001,NA,0.21214875789999998,0.06927306366000001,0.152496957511
East End-Danforth,23011,0.9473729858000001,0.217287384,0.11733518979999999,0.19121289060000002,0.008691494942,0.07387770844000001,0.004345747471,0.2781278381,0.03042023468,0.20763016375922225
Taylor-Massey,16157,0.8912545775999999,0.1732994995,0.09902828217,0.11140682219999999,NA,0.1732994995,0.0061892676350000005,0.20424583440000002,0.018567804339999997,0.18636573192722222
Woodbine-Lumsden,8141,0.393072113,0.1965360565,0.061417514799999996,0.1474020386,0.012283503530000002,NA,NA,0.1596855469,0.04913401413,0.11328119860666666
Danforth East York,17883,0.5703740844999999,0.2851870422,0.02236761093,0.06710283661,NA,0.02236761093,NA,0.2516356354,0.02236761093,0.13793360349999997
Old East York,9540,0.6603773804,0.3354297791,0.06289308167,0.0733752594,NA,0.06289308167,0.020964361190000003,0.2830188599,0.0104821806,0.16771488710333332
Runnymede-Bloor West Village,10772,0.5384329834,0.3898997498,0.1392499084,0.2877831421,NA,0.167099884,0.009283327103,0.1763832092,0.05569996262,0.195981351847
High Park North,24474,0.7640761719,0.1675247192,0.11440712739999999,0.2206423187,0.004085968971,0.098063247680000007,NA,0.1062351913,0.016343875889999998,0.16570873567122224
High Park-Swansea,26135,0.4055863647,0.2066194763,0.07269944763,0.19896690369999998,0.0038262865540000003,0.03443658066,0.011478859899999999,0.15305146790000002,0.038262866969999997,0.12499202825711112
Roncesvalles,15939,0.8532530518,0.1756697388,0.1317523041,0.3011481323,NA,0.1317523041,0.006273919106,0.24468284610000002,0.03136959648,0.2084335436428889
South Parkdale,23054,1.405395996,0.1865186157,0.13012925720000001,0.27327145389999996,NA,0.09976576996,NA,0.1474798279,0.09109048462,0.25929460058666665
Little Portugal,17399,0.741421936,0.1321914978,0.09770676421999999,0.1839186096,NA,0.08621185303,0.005747456551,0.2586355591,0.057474567409999996,0.1737009159678889
Dufferin Grove,12709,1.1645290529999999,0.1416319122,0.4563695068,0.2832638245,NA,0.2281847534,0.007868439674,0.3068691406,0.0629475174,0.2946293497304444
Trinity-Bellwoods,17814,0.7802851563000001,0.1571797485,0.258223877,0.4097900391,NA,0.1403390656,0.005613562584,0.22454249569999998,0.05052206039,0.22516622279711113
Don Valley Village,29424,0.5641652831999999,0.5471723633000001,0.02379010391,0.1529363708,0.006797172545999999,0.1019575882,0.016992931370000002,0.3534529724,0.04758020782,0.20164944372733334
Pleasant View,16732,0.3107817383,0.26894573969999996,0.06574228668000001,0.1016017227,NA,0.0836720047,NA,0.21515658569999999,0.02988285828,0.11953143733999999
Flemingdon Park,23485,0.7110921631,0.166063446,0.02554822159,0.1021928864,NA,0.055354480739999996,0.017032148360000002,0.2086438141,0.02129018593,0.14524637180222222
Victoria Village,18592,0.7852839966,0.2904475098,0.010757314680000001,0.13984509280000001,NA,0.08605851746000001,0.021514629360000002,0.29582617190000005,0.05916523361,0.18765538513444446
Banbury-Don Mills,31047,0.42516186520000004,0.4831384583,0.04509292221,0.3188713989,0.0032209231850000002,0.07730215454,0.012883692740000001,0.2093600006,0.04509292221,0.18001381532055558
Bridle Path-Sunnybrook-York Mills,10707,0.4483048401,0.7471747437,0.07471747589000001,0.8966096802,NA,0.028019052510000003,NA,0.2428317871,0.07471747589000001,0.27915278393222226
St.Andrew-Windfields,20205,0.28705764770000003,0.6731007080000001,0.054441970830000005,0.4454342957,0.0049492697720000004,0.07423905182,NA,0.16827517700000003,0.05939123917,0.19632103999911113
Bedford Park-Nortown,25583,0.2032599792,0.8951256714,0.0273619194,0.4768791809,NA,0.046906146999999995,NA,0.2775280457,0.05081499481,0.21976399315666667
Lansing-Westgate,17872,0.4979856873,0.6322739258000001,0.061548789980000004,0.3245299988,NA,0.13428826900000002,NA,0.3133392944,0.044762756349999995,0.22319208018111114
Willowdale West,19546,0.5883556518999999,0.3018520508,0.0306968174,0.2046454468,NA,0.19441317749999998,NA,0.27115521239999996,0.05627750015,0.18304398410555553
